Servers, Clients, ReadPct, NumReads, Policy, AvgStale, SDevStale, AvgInconsistent, SDevInconsistent, AvgStaleCounts, SDevStaleCounts, AvgGets, SDevGets, AvgPuts, SDevPuts, 1CAvgStale, 1CSDevStale, 1CAvgInconsistent, 1CSDevInconsistent, 1CAvgStaleCounts, 1CSDevStaleCounts, 1CAvgGets, 1CSDevGets, 1CAvgPuts, 1CSDevPuts
3, 100, 5, 100, round_robin, 65.93000, 0.29319, 60.91000, 1.98018, 468.35850, 497.35617, 25672.31030, 31264.69773, 65769.66204, 22626.52599, 66.00000, 0.00000, 61.00000, 0.00000, 517.52000, 533.08946, 24540.10000, 27808.11173, 64482.97747, 23902.79041
3, 100, 10, 100, round_robin, 62.81000, 0.59789, 53.32000, 3.02808, 230.19050, 259.76371, 29858.84210, 36727.39079, 69717.08408, 30312.79089, 60.00000, 0.00000, 50.00000, 0.00000, 254.97000, 284.82663, 29497.38000, 35642.14983, 71364.01124, 30302.03066
3, 100, 15, 100, round_robin, 61.79000, 0.59110, 47.48000, 4.05139, 147.29210, 173.21569, 32163.91550, 39416.66271, 74203.10405, 35411.18368, 61.00000, 0.00000, 38.00000, 0.00000, 155.19000, 176.00939, 32887.44000, 38333.02163, 76920.47222, 35071.28697
3, 100, 20, 100, round_robin, 65.66000, 1.04659, 45.86000, 4.76947, 112.61280, 127.31811, 30526.52820, 41559.97993, 80885.45758, 41639.16859, 65.00000, 0.00000, 41.00000, 0.00000, 108.52000, 129.59124, 31661.43000, 41340.67500, 85923.15823, 42069.95809
3, 100, 25, 100, round_robin, 64.64000, 0.77225, 40.68000, 5.02093, 84.73410, 98.05563, 32947.16150, 44244.06946, 86814.01443, 45040.19115, 63.00000, 0.00000, 35.00000, 0.00000, 79.56000, 102.29886, 36528.88000, 47373.81398, 93576.04054, 43477.08463
3, 100, 30, 100, round_robin, 63.55000, 0.94682, 35.56000, 5.73721, 65.05230, 77.97164, 37119.70710, 48019.49530, 88449.32371, 47447.76401, 62.00000, 0.00000, 29.00000, 0.00000, 60.56000, 81.85135, 40092.80000, 50007.63811, 94219.87440, 45913.04902
3, 100, 35, 100, round_robin, 65.30000, 1.30655, 33.02000, 5.87407, 52.63050, 61.86667, 35723.56160, 48877.03211, 98149.09595, 51192.42632, 64.00000, 0.00000, 27.00000, 0.00000, 50.75000, 69.75880, 41547.13000, 51611.86721, 108909.67188, 49787.11337
3, 100, 40, 100, round_robin, 65.06000, 1.60693, 28.25000, 6.05759, 43.30740, 52.85988, 38597.22150, 52156.60683, 99316.84249, 53852.40507, 64.00000, 0.00000, 21.00000, 0.00000, 34.77000, 48.09478, 43349.50000, 55446.93915, 110499.54237, 54925.97106
3, 100, 45, 100, round_robin, 63.80000, 2.00000, 24.48000, 6.55587, 34.79160, 43.69557, 42285.98520, 54930.30253, 101432.52189, 55498.83626, 65.00000, 0.00000, 25.00000, 0.00000, 31.41000, 44.21894, 44429.99000, 55374.76815, 112176.88889, 54838.90927
3, 100, 50, 100, round_robin, 64.60000, 1.89630, 21.11000, 6.49770, 27.49950, 34.48809, 40472.62800, 55148.51772, 117700.34215, 57949.36405, 62.00000, 0.00000, 21.00000, 0.00000, 22.57000, 34.32532, 44190.28000, 56206.30947, 103325.60204, 62766.00697
3, 100, 55, 100, round_robin, 63.91000, 2.58627, 18.86000, 5.97980, 22.83990, 29.38636, 43216.97970, 57187.84713, 118986.98905, 59771.40996, 64.00000, 0.00000, 10.00000, 0.00000, 18.81000, 29.38415, 47632.82000, 56324.94765, 149679.81818, 60832.89819
3, 100, 60, 100, round_robin, 63.17000, 2.99513, 16.21000, 4.85194, 18.17850, 23.89758, 46042.06370, 59838.82976, 121820.42755, 61265.10940, 63.00000, 0.00000, 10.00000, 0.00000, 15.70000, 27.96517, 51545.22000, 60133.07938, 149309.17949, 69315.02281
3, 100, 65, 100, round_robin, 62.70000, 3.45972, 13.81000, 4.83609, 14.66830, 19.89065, 48091.60710, 61508.80663, 125021.36750, 60283.47752, 62.00000, 0.00000, 13.00000, 0.00000, 14.00000, 25.78936, 51285.21000, 60199.74340, 153604.52941, 62642.23846
3, 100, 70, 100, round_robin, 60.86000, 4.23792, 11.19000, 4.43060, 10.81320, 14.65819, 51324.06140, 64437.96740, 127107.04378, 61929.94550, 60.00000, 0.00000, 6.00000, 0.00000, 10.68000, 18.04813, 51617.26000, 59629.43232, 162387.55172, 67664.52789
3, 100, 75, 100, round_robin, 59.33000, 4.57277, 8.59000, 3.91086, 7.54680, 10.99826, 54779.06930, 68748.65927, 133865.39474, 64870.33376, 57.00000, 0.00000, 7.00000, 0.00000, 6.55000, 11.34881, 53924.81000, 60118.10276, 169807.33333, 81876.02070
3, 100, 80, 100, round_robin, 57.58000, 5.28421, 6.88000, 2.76807, 5.22930, 8.13113, 56258.55990, 69755.64936, 135658.29101, 64784.62434, 55.00000, 0.00000, 4.00000, 0.00000, 4.11000, 6.42579, 53012.17000, 61505.49729, 180888.21053, 85607.54280
3, 100, 85, 100, round_robin, 48.56000, 7.54959, 4.06000, 2.18267, 2.34040, 3.65900, 59067.54040, 70305.89363, 134148.26824, 58378.02210, 48.00000, 0.00000, 3.00000, 0.00000, 1.79000, 2.69041, 57614.93000, 63993.75292, 165013.28571, 80748.99461
3, 100, 90, 100, round_robin, 13.05000, 4.20528, 0.18000, 0.38612, 0.17310, 0.51842, 60616.72310, 68402.94438, 134992.91939, 56151.02125, 18.00000, 0.00000, 1.00000, 0.00000, 0.22000, 0.50412, 60082.29000, 67086.26006, 148655.77778, 72006.04916
3, 100, 95, 100, round_robin, 3.30000, 1.80627, 0.03000, 0.17145, 0.03470, 0.19261, 60448.02540, 64292.38924, 133773.76112, 45759.12460, 7.00000, 0.00000, 0.00000, 0.00000, 0.07000, 0.25643, 61296.36000, 64406.20010, 105947.75000, 9876.41103
3, 100, 100, 100, round_robin, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 56958.17120, 37598.36785, NaN, NaN, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 57234.64000, 39363.22278, NaN, NaN
