Servers, Clients, ReadPct, NumReads, Policy, AvgStale, SDevStale, AvgInconsistent, SDevInconsistent, AvgStaleCounts, SDevStaleCounts, AvgGets, SDevGets, AvgPuts, SDevPuts, 1CAvgStale, 1CSDevStale, 1CAvgInconsistent, 1CSDevInconsistent, 1CAvgStaleCounts, 1CSDevStaleCounts, 1CAvgGets, 1CSDevGets, 1CAvgPuts, 1CSDevPuts
3, 100, 5, 100, round_robin, 65.84000, 0.54532, 56.68000, 2.26916, 328.71530, 371.95471, 26914.43370, 33271.35879, 69483.24430, 27162.18949, 66.00000, 0.00000, 59.00000, 0.00000, 357.43000, 385.20343, 24872.14000, 29419.46892, 68072.77034, 28211.08705
3, 100, 10, 100, round_robin, 62.64000, 0.91585, 45.89000, 2.88813, 148.47390, 184.85356, 32150.25250, 39734.73490, 75651.46555, 34400.16404, 59.00000, 0.00000, 46.00000, 0.00000, 153.35000, 192.14511, 28409.87000, 30803.48801, 77853.23970, 34841.22789
3, 100, 15, 100, round_robin, 61.46000, 1.39566, 36.05000, 3.87526, 85.07840, 113.74384, 35568.25370, 44304.61625, 82087.84338, 39771.15096, 60.00000, 0.00000, 34.00000, 0.00000, 91.64000, 125.15812, 34868.69000, 42102.74733, 85653.74008, 39998.70352
3, 100, 20, 100, round_robin, 65.15000, 1.99178, 30.48000, 4.43922, 59.82240, 79.94033, 33988.18500, 45763.27496, 90404.93890, 45033.38093, 61.00000, 0.00000, 29.00000, 0.00000, 67.98000, 91.49609, 32657.13000, 39083.30043, 97239.54430, 45532.27842
3, 100, 25, 100, round_robin, 63.60000, 2.36130, 22.76000, 4.51288, 39.68140, 55.92374, 36945.20620, 49227.09028, 97411.81066, 47880.75374, 61.00000, 0.00000, 18.00000, 0.00000, 39.87000, 58.19172, 37135.19000, 44384.72238, 106411.09459, 48482.65009
3, 100, 30, 100, round_robin, 61.28000, 3.73917, 16.28000, 4.12697, 26.54030, 40.57585, 41058.06020, 52283.94570, 98746.48326, 49118.48540, 58.00000, 0.00000, 10.00000, 0.00000, 26.00000, 42.78464, 40141.76000, 47354.79135, 107574.30918, 48756.22960
3, 100, 35, 100, round_robin, 62.96000, 3.28117, 11.92000, 3.92526, 17.66370, 28.21539, 39591.14770, 53142.92236, 109641.46145, 51652.08023, 57.00000, 0.00000, 6.00000, 0.00000, 16.51000, 30.93868, 39426.80000, 47951.26739, 125326.60938, 51389.46172
3, 100, 40, 100, round_robin, 53.96000, 6.60107, 7.90000, 3.08303, 11.05420, 20.17624, 43483.68410, 57107.68118, 111199.13667, 53642.68426, 45.00000, 0.00000, 2.00000, 0.00000, 8.87000, 21.55456, 43831.53000, 51996.10015, 127119.63559, 52558.84612
3, 100, 45, 100, round_robin, 46.25000, 6.95930, 4.46000, 2.23118, 6.78150, 13.95524, 47267.17770, 59601.67665, 112457.57926, 55162.58073, 39.00000, 0.00000, 1.00000, 0.00000, 3.98000, 11.97555, 46822.29000, 56386.13832, 127253.74074, 52105.08492
3, 100, 50, 100, round_robin, 40.95000, 7.42692, 2.89000, 2.12201, 2.95020, 5.87173, 45877.20230, 60654.48282, 129502.10974, 51356.63614, 32.00000, 0.00000, 1.00000, 0.00000, 1.05000, 2.24452, 49982.11000, 62994.99648, 114459.23469, 59852.30709
3, 100, 55, 100, round_robin, 30.24000, 10.22289, 2.12000, 2.07574, 2.05200, 4.96640, 47998.31270, 61836.74970, 128493.76437, 51738.51922, 19.00000, 0.00000, 1.00000, 0.00000, 0.31000, 0.77453, 54423.15000, 66997.15003, 154161.45455, 43603.39118
3, 100, 60, 100, round_robin, 24.77000, 10.17012, 1.34000, 1.65889, 1.20160, 3.31588, 49975.29080, 62944.39545, 128569.49259, 54913.32996, 10.00000, 0.00000, 0.00000, 0.00000, 0.12000, 0.38350, 56547.49000, 67303.23861, 151538.30769, 47035.16548
3, 100, 65, 100, round_robin, 19.23000, 9.15286, 0.81000, 1.19507, 0.58030, 1.81220, 51224.89060, 65450.31728, 134287.93846, 56706.29519, 10.00000, 0.00000, 0.00000, 0.00000, 0.11000, 0.34510, 54239.43000, 66973.70458, 159749.94118, 43129.79461
