Servers, Clients, ReadPct, NumReads, Policy, AvgStale, SDevStale, AvgInconsistent, SDevInconsistent, AvgStaleCounts, SDevStaleCounts, AvgGets, SDevGets, AvgPuts, SDevPuts, 1CAvgStale, 1CSDevStale, 1CAvgInconsistent, 1CSDevInconsistent, 1CAvgStaleCounts, 1CSDevStaleCounts, 1CAvgGets, 1CSDevGets, 1CAvgPuts, 1CSDevPuts
3, 100, 5, 100, round_robin, 65.95000, 0.29729, 61.29000, 1.88184, 492.12760, 517.80926, 25777.77780, 31673.37367, 66054.26924, 23361.33973, 65.00000, 0.00000, 61.00000, 0.00000, 520.61000, 520.03455, 23694.57000, 27224.22383, 64813.03692, 24279.27672
3, 100, 10, 100, round_robin, 62.91000, 0.32083, 53.93000, 2.88239, 243.26890, 271.64013, 29981.67360, 36384.61063, 70503.72883, 30674.80299, 63.00000, 0.00000, 52.00000, 0.00000, 272.44000, 298.56567, 27835.19000, 30792.69955, 72373.85643, 30726.26257
3, 100, 15, 100, round_robin, 61.90000, 0.46057, 49.01000, 3.95555, 157.68740, 183.39838, 32656.35450, 40525.81213, 75397.77717, 36672.27753, 62.00000, 0.00000, 46.00000, 0.00000, 160.80000, 185.91629, 32383.74000, 37881.10610, 78341.48214, 37536.65621
3, 100, 20, 100, round_robin, 65.82000, 0.55741, 47.99000, 5.08810, 122.38350, 136.64217, 30735.31830, 41321.64387, 82425.90020, 42209.09379, 65.00000, 0.00000, 41.00000, 0.00000, 125.39000, 149.66757, 29705.34000, 38182.14030, 88241.54430, 40388.76032
3, 100, 25, 100, round_robin, 64.60000, 0.95346, 42.47000, 5.57675, 92.00790, 104.38757, 33463.35360, 45201.80288, 88899.75783, 46830.19832, 65.00000, 0.00000, 37.00000, 0.00000, 83.30000, 104.18403, 35107.19000, 46823.37927, 96967.43243, 46854.42624
3, 100, 30, 100, round_robin, 63.53000, 1.03918, 37.96000, 6.07515, 72.54830, 85.67101, 37633.50090, 48819.65124, 90166.68673, 47805.28196, 63.00000, 0.00000, 28.00000, 0.00000, 70.75000, 97.60479, 39036.15000, 48365.52715, 97278.85024, 47028.29448
3, 100, 35, 100, round_robin, 65.23000, 1.68688, 35.06000, 6.32267, 59.25440, 68.53219, 35910.43490, 49286.50046, 97887.79944, 50663.45277, 65.00000, 0.00000, 30.00000, 0.00000, 54.56000, 71.80998, 37654.98000, 48826.06182, 111159.74219, 49009.76268
3, 100, 40, 100, round_robin, 65.09000, 1.97507, 31.81000, 6.14751, 48.79020, 58.58379, 38827.35300, 51396.22577, 98371.65204, 50598.54578, 65.00000, 0.00000, 23.00000, 0.00000, 39.20000, 55.34374, 42759.92000, 54782.91531, 110604.77119, 46698.82660
3, 100, 45, 100, round_robin, 63.94000, 2.05883, 27.01000, 6.88505, 40.20080, 49.43718, 41243.51480, 52996.09486, 99453.23821, 52089.49869, 65.00000, 0.00000, 18.00000, 0.00000, 35.72000, 50.88432, 41014.85000, 49715.66837, 111489.56481, 53396.21145
3, 100, 50, 100, round_robin, 64.92000, 1.56786, 24.28000, 6.50886, 32.10880, 39.05891, 41682.50860, 55084.20256, 110714.63846, 50204.67085, 66.00000, 0.00000, 23.00000, 0.00000, 28.91000, 43.14905, 42950.36000, 55227.22034, 102331.94898, 56574.09158
3, 100, 55, 100, round_robin, 64.34000, 2.63703, 22.57000, 6.42007, 27.24200, 33.84528, 40026.16090, 53614.19049, 104601.74439, 51133.53006, 61.00000, 0.00000, 15.00000, 0.00000, 22.77000, 37.04184, 41207.76000, 53006.97641, 132448.43182, 44504.65178
3, 100, 60, 100, round_robin, 63.71000, 2.29754, 20.98000, 6.03354, 22.66110, 29.07120, 44812.70300, 59399.44781, 113531.78479, 56079.75248, 65.00000, 0.00000, 14.00000, 0.00000, 19.69000, 33.67992, 50926.70000, 65983.69779, 134542.76923, 51861.81773
3, 100, 65, 100, round_robin, 63.43000, 2.86482, 17.53000, 5.72334, 18.61880, 24.23284, 46174.00880, 60414.13278, 117412.05430, 56218.45716, 66.00000, 0.00000, 13.00000, 0.00000, 16.49000, 28.52626, 49123.71000, 60009.42810, 137903.02941, 47829.66173
