Servers, Clients, ReadPct, NumReads, Policy, AvgStale, SDevStale, AvgInconsistent, SDevInconsistent, AvgStaleCounts, SDevStaleCounts, AvgGets, SDevGets, AvgPuts, SDevPuts, 1CAvgStale, 1CSDevStale, 1CAvgInconsistent, 1CSDevInconsistent, 1CAvgStaleCounts, 1CSDevStaleCounts, 1CAvgGets, 1CSDevGets, 1CAvgPuts, 1CSDevPuts
3, 100, 5, 100, round_robin, 65.94000, 0.23868, 60.03000, 1.86653, 440.13690, 473.63473, 25608.22210, 30716.01317, 66200.55948, 22731.38528, 65.00000, 0.00000, 61.00000, 0.00000, 467.69000, 480.55006, 23852.77000, 26939.01009, 64868.48060, 23923.53954
3, 100, 10, 100, round_robin, 62.88000, 0.38350, 52.73000, 3.21567, 212.79200, 244.59950, 29655.21060, 35667.93939, 69979.62639, 29598.75522, 63.00000, 0.00000, 50.00000, 0.00000, 227.99000, 252.21309, 28119.78000, 32425.51059, 71709.46816, 29303.52646
3, 100, 15, 100, round_robin, 61.85000, 0.43519, 46.44000, 4.11531, 134.85110, 160.35931, 32143.04300, 39373.42524, 74360.49489, 35100.42374, 62.00000, 0.00000, 43.00000, 0.00000, 141.01000, 165.10367, 33395.58000, 39784.04042, 76858.59921, 35517.23273
3, 100, 20, 100, round_robin, 65.67000, 1.00559, 43.50000, 4.45063, 102.18650, 117.03761, 30482.73870, 41381.40928, 80546.89391, 40768.36328, 64.00000, 0.00000, 40.00000, 0.00000, 103.76000, 119.78256, 32562.22000, 41397.16859, 85380.66772, 41960.77939
3, 100, 25, 100, round_robin, 64.67000, 0.77921, 38.39000, 5.38966, 74.43280, 87.25609, 32953.00590, 44565.93584, 86522.06714, 44431.46922, 65.00000, 0.00000, 34.00000, 0.00000, 70.34000, 86.78666, 36120.11000, 49217.88753, 93082.27027, 43137.43784
3, 100, 30, 100, round_robin, 63.48000, 1.02966, 31.97000, 5.52763, 57.23360, 69.88313, 36738.46860, 47896.35693, 87347.19006, 45810.28124, 63.00000, 0.00000, 28.00000, 0.00000, 52.10000, 70.40281, 39980.29000, 52738.32745, 92913.55072, 45213.53799
3, 100, 35, 100, round_robin, 65.28000, 1.37862, 29.13000, 6.79372, 45.33670, 54.53673, 35557.69260, 49340.60005, 97296.00207, 50969.04293, 64.00000, 0.00000, 21.00000, 0.00000, 44.79000, 57.36210, 40608.38000, 54678.80187, 106798.61719, 47711.87615
3, 100, 40, 100, round_robin, 64.95000, 1.71373, 25.38000, 5.39880, 37.35250, 46.61291, 39103.79280, 53425.11847, 97519.41697, 51468.69486, 64.00000, 0.00000, 19.00000, 0.00000, 31.71000, 44.69635, 45694.91000, 61226.26963, 105710.62712, 45497.66851
3, 100, 45, 100, round_robin, 63.86000, 1.89641, 20.67000, 5.82064, 29.07890, 38.01136, 43189.34550, 57235.33506, 98737.64196, 53194.87483, 62.00000, 0.00000, 18.00000, 0.00000, 23.31000, 33.69132, 49043.76000, 63726.99650, 105893.14815, 45992.69906
3, 100, 50, 100, round_robin, 64.38000, 2.06843, 17.64000, 5.17867, 22.57310, 29.22412, 42029.64930, 58214.27407, 114009.16683, 53760.30015, 66.00000, 0.00000, 11.00000, 0.00000, 19.86000, 30.16588, 53966.95000, 73923.45502, 91713.71429, 47028.19796
3, 100, 55, 100, round_robin, 63.21000, 2.92082, 15.08000, 5.46556, 18.09320, 24.57450, 45248.51080, 62482.96559, 115688.62657, 54765.48889, 62.00000, 0.00000, 10.00000, 0.00000, 12.25000, 18.55234, 57958.54000, 73385.21009, 128446.34091, 29106.87589
3, 100, 60, 100, round_robin, 61.88000, 4.02588, 13.27000, 5.09477, 14.51110, 20.60459, 47515.81790, 63865.99838, 117255.28009, 56950.78406, 63.00000, 0.00000, 9.00000, 0.00000, 10.75000, 19.47460, 58519.59000, 75990.01351, 128523.20513, 31725.68896
3, 100, 65, 100, round_robin, 61.67000, 3.81135, 10.93000, 4.41360, 11.33240, 16.39830, 48137.72220, 63357.97230, 120225.52486, 56865.13093, 63.00000, 0.00000, 5.00000, 0.00000, 9.54000, 17.45842, 59115.95000, 76518.01636, 122808.88235, 17054.76415
3, 100, 70, 100, round_robin, 57.53000, 5.60925, 8.40000, 3.44656, 7.81870, 12.33446, 49344.41270, 61359.95436, 122323.57080, 52962.98623, 57.00000, 0.00000, 10.00000, 0.00000, 6.87000, 14.53359, 55814.19000, 69799.05907, 122094.86207, 16513.61090
