Servers, Clients, ReadPct, NumReads, Policy, AvgStale, SDevStale, AvgInconsistent, SDevInconsistent, AvgStaleCounts, SDevStaleCounts, AvgGets, SDevGets, AvgPuts, SDevPuts, 1CAvgStale, 1CSDevStale, 1CAvgInconsistent, 1CSDevInconsistent, 1CAvgStaleCounts, 1CSDevStaleCounts, 1CAvgGets, 1CSDevGets, 1CAvgPuts, 1CSDevPuts
3, 100, 5, 100, round_robin, 65.97000, 0.17145, 59.56000, 1.94531, 403.74980, 437.12013, 25961.65510, 31758.23281, 66388.19430, 21567.56553, 66.00000, 0.00000, 60.00000, 0.00000, 444.83000, 455.14642, 24263.65000, 27458.33717, 65055.53066, 23134.32185
3, 100, 10, 100, round_robin, 62.94000, 0.37118, 51.00000, 3.37549, 195.38260, 229.13375, 29906.21620, 35338.89122, 70203.26313, 27299.00832, 62.00000, 0.00000, 48.00000, 0.00000, 219.02000, 248.76799, 27136.06000, 29572.07325, 72092.70662, 27705.94337
3, 100, 15, 100, round_robin, 61.75000, 0.72995, 44.54000, 3.72385, 121.26410, 146.19765, 32684.76260, 39359.69114, 75286.98992, 33346.17570, 59.00000, 0.00000, 40.00000, 0.00000, 128.30000, 152.92604, 33962.10000, 39657.69158, 77778.40873, 33270.83888
3, 100, 20, 100, round_robin, 65.65000, 1.08595, 40.73000, 4.77759, 90.15630, 105.26110, 30379.94550, 39892.94685, 81307.03250, 37717.83839, 66.00000, 0.00000, 31.00000, 0.00000, 92.75000, 117.53387, 26917.63000, 31470.94705, 87504.74051, 35833.50559
3, 100, 25, 100, round_robin, 64.55000, 1.00880, 34.29000, 4.81012, 65.12240, 77.40470, 33044.33540, 43089.91476, 87021.03152, 39895.30063, 65.00000, 0.00000, 32.00000, 0.00000, 61.18000, 76.62389, 32083.91000, 37197.35328, 95735.83784, 40523.86333
3, 100, 30, 100, round_robin, 63.35000, 1.49325, 28.88000, 5.09363, 49.41570, 62.11114, 37365.91340, 47714.25953, 88573.21548, 42941.86168, 62.00000, 0.00000, 20.00000, 0.00000, 49.33000, 67.42239, 35722.91000, 43531.38489, 96564.63285, 41603.21567
3, 100, 35, 100, round_robin, 65.15000, 1.59149, 24.55000, 5.71791, 39.25190, 49.44121, 33873.70380, 44192.59401, 92566.92375, 40055.62725, 62.00000, 0.00000, 15.00000, 0.00000, 37.50000, 49.56834, 36256.00000, 46455.14712, 103720.03125, 36110.66183
3, 100, 40, 100, round_robin, 64.52000, 2.27183, 21.60000, 5.62821, 31.71710, 41.49927, 36684.46690, 47175.89704, 93213.19045, 41775.61846, 62.00000, 0.00000, 15.00000, 0.00000, 25.51000, 35.10892, 40753.90000, 52958.15364, 102630.71186, 33991.20375
3, 100, 45, 100, round_robin, 63.04000, 2.58559, 16.88000, 5.21707, 24.22630, 34.12015, 40347.42290, 49854.00851, 95457.89043, 43948.91582, 61.00000, 0.00000, 18.00000, 0.00000, 21.74000, 33.80533, 43379.74000, 55259.88498, 104329.25000, 35880.95595
3, 100, 50, 100, round_robin, 63.10000, 3.30136, 14.30000, 5.15909, 17.53130, 24.62260, 39085.54780, 51668.86707, 111567.05146, 46314.97262, 60.00000, 0.00000, 8.00000, 0.00000, 16.99000, 27.74214, 45535.84000, 58012.21560, 95289.66327, 46690.47830
3, 100, 55, 100, round_robin, 60.35000, 5.11953, 12.73000, 4.54352, 13.89430, 19.95800, 41207.60630, 52374.13957, 112220.39286, 43960.57837, 54.00000, 0.00000, 9.00000, 0.00000, 11.80000, 20.47220, 47818.92000, 56471.16446, 133174.18182, 31289.42499
3, 100, 60, 100, round_robin, 56.48000, 7.41481, 9.49000, 4.28645, 9.59660, 14.72400, 44042.52180, 55099.13077, 114200.44221, 45982.02888, 46.00000, 0.00000, 8.00000, 0.00000, 7.05000, 12.85064, 51024.88000, 62017.51407, 135932.17949, 28114.70371
